KEYS,,DECK-SELECTED,,,,CH0,CH1,CH2,LED,,,,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,47,7F,7F,146,71,127,146,71,127,blink,20
,,,PULL,ON/OFF,OFF,92,47,0,0,146,71,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,47,7F,7F,148,71,127,148,71,127,blink,20
,,,PULL,ON/OFF,OFF,94,47,0,0,148,71,0,,,,,
3 R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,8,7F,7F,146,8,127,146,8,127,blink,20
,,,PULL,ON/OFF,OFF,92,8,0,0,146,8,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,8,7F,7F,148,8,127,148,8,127,blink,20
,,,PULL,ON/OFF,OFF,94,8,0,0,148,8,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,48,7F,7F,146,72,127,146,72,127,blink,20
,,,PULL,ON/OFF,OFF,92,48,0,0,146,72,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,48,7F,7F,148,72,127,148,72,127,blink,20
,,,PULL,ON/OFF,OFF,94,48,0,0,148,72,0,,,,,
4 R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,9,7F,7F,146,9,127,146,9,127,blink,20
,,,PULL,ON/OFF,OFF,92,9,0,0,146,9,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,9,7F,7F,148,9,127,148,9,127,blink,20
,,,PULL,ON/OFF,OFF,94,9,0,0,148,9,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,49,7F,7F,146,73,127,146,73,127,blink,20
,,,PULL,ON/OFF,OFF,92,49,0,0,146,73,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,49,7F,7F,148,73,127,148,73,127,blink,20
,,,PULL,ON/OFF,OFF,94,49,0,0,148,73,0,,,,,
CUP R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,A,7F,7F,146,10,127,146,10,127,blink,20
,,,PULL,ON/OFF,OFF,92,A,0,0,146,10,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,A,7F,7F,148,10,127,148,10,127,blink,20
,,,PULL,ON/OFF,OFF,94,A,0,0,148,10,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,4A,7F,7F,146,74,127,146,74,127,blink,20
,,,PULL,ON/OFF,OFF,92,4A,0,0,146,74,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,4A,7F,7F,148,74,127,148,74,127,blink,20
,,,PULL,ON/OFF,OFF,94,4A,0,0,148,74,0,,,,,
CUE R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,B,7F,7F,146,11,127,146,11,127,blink,20
,,,PULL,ON/OFF,OFF,92,B,0,0,146,11,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,B,7F,7F,148,11,127,148,11,127,blink,20
,,,PULL,ON/OFF,OFF,94,B,0,0,148,11,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,4B,7F,7F,146,75,127,146,75,127,blink,20
,,,PULL,ON/OFF,OFF,92,4B,0,0,146,75,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,4B,7F,7F,148,75,127,148,75,127,blink,20
,,,PULL,ON/OFF,OFF,94,4B,0,0,148,75,0,,,,,
PLAY/PAUSE R,NO SHIFT,DECK A,PUSH,ON/OFF,ON,92,C,7F,7F,146,12,127,146,12,127,blink,20
,,,PULL,ON/OFF,OFF,92,C,0,0,146,12,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,C,7F,7F,148,12,127,148,12,127,blink,20
,,,PULL,ON/OFF,OFF,94,C,0,0,148,12,0,,,,,
,SHIFT,DECK A,PUSH,ON/OFF,ON,92,4C,7F,7F,146,76,127,146,76,127,blink,20
,,,PULL,ON/OFF,OFF,92,4C,0,0,146,76,0,,,,,
,,DECK C,PUSH,ON/OFF,ON,94,4C,7F,7F,148,76,127,148,76,127,blink,20
,,,PULL,ON/OFF,OFF,94,4C,0,0,148,76,0,,,,,
SHIFT R,,DECK A,PUSH,ON/OFF,ON,92,E,7F,7F,146,14,127,146,14,127,blink,20
,,,PUSH,ON/OFF,OFF,92,E,0,0,146,14,0,,,,,
,,DECK C,PULL,ON/OFF,ON,94,E,7F,7F,148,14,127,148,14,127,blink,20
,,,PULL,ON/OFF,OFF,94,E,0,0,148,14,0,,,,,
knobs,,,,,,,,,,,,,,,,,
S1VOL,INT,,,,,B0,1,0,,176,1,0,,,,,
S2VOL,,,,,INT,B0,2,0,,176,2,0,,,,,
S2VOL,,,,,INT,B0,3,0,,176,3,0,,,,,
S3VOL,,,,,INT,B0,4,0,,176,4,0,,,,,
Deck C HIGH,,,,,INT,B0,5,0,,176,5,0,,,,,
,,,,,MID IN,90,5,7F,,144,5,127,,,,,
,,,,,MID OUT,90,5,0,,144,5,0,,,,,
Deck C MID,,,,,INT,B0,6,0,,176,6,0,,,,,
,,,,,MID IN,90,6,7F,,144,6,127,,,,,
,,,,,MID OUT,90,6,0,,144,6,0,,,,,
Deck C LOW,,,,,INT,B0,7,0,,176,7,0,,,,,
,,,,,MID IN,90,7,7F,,144,7,127,,,,,
,,,,,MID OUT,90,7,0,,144,7,0,,,,,
Deck C FILTER,,,,,INT,B0,8,0,,176,8,0,,,,,
,,,,,MID IN,90,8,7F,,144,8,127,,,,,
,,,,,MID OUT,90,8,0,,144,8,0,,,,,
Deck A HIGH,,,,,INT,B0,5,0,,176,5,0,,,,,
,,,,,MID IN,90,5,7F,,144,5,127,,,,,
,,,,,MID OUT,90,5,0,,144,5,0,,,,,
Deck A MID,,,,,INT,B0,6,0,,176,6,0,,,,,
,,,,,MID IN,90,6,7F,,144,6,127,,,,,
,,,,,MID OUT,90,6,0,,144,6,0,,,,,
Deck A LOW,,,,,INT,B0,7,0,,176,7,0,,,,,
,,,,,MID IN,90,7,7F,,144,7,127,,,,,
,,,,,MID OUT,90,7,0,,144,7,0,,,,,
Deck B FILTER,,,,,INT,B0,8,0,,176,8,0,,,,,
,,,,,MID IN,90,8,7F,,144,8,127,,,,,
,,,,,MID OUT,90,8,0,,144,8,0,,,,,
Deck B HIGH,,,,,INT,B0,5,0,,176,5,0,,,,,
,,,,,MID IN,90,5,7F,,144,5,127,,,,,
,,,,,MID OUT,90,5,0,,144,5,0,,,,,
Deck B MID,,,,,INT,B0,6,0,,176,6,0,,,,,
,,,,,MID IN,90,6,7F,,144,6,127,,,,,
,,,,,MID OUT,90,6,0,,144,6,0,,,,,
Deck D LOW,,,,,INT,B0,7,0,,176,7,0,,,,,
,,,,,MID IN,90,7,7F,,144,7,127,,,,,
,,,,,MID OUT,90,7,0,,144,7,0,,,,,
Deck D FILTER,,,,,INT,B0,8,0,,176,8,0,,,,,
,,,,,MID IN,90,8,7F,,144,8,127,,,,,
,,,,,MID OUT,90,8,0,,144,8,0,,,,,
Deck D HIGH,,,,,INT,B0,5,0,,176,5,0,,,,,
,,,,,MID IN,90,5,7F,,144,5,127,,,,,
,,,,,MID OUT,90,5,0,,144,5,0,,,,,
MASTER,,,,,INT,B0,1A,0,,176,26,0,,,,,
BOOTH,,,,,INT,B0,1B,0,,176,27,0,,,,,
NAVIGATION,,,,,CCW,B0,1F,41,,176,31,65,,,,,
,,,,,CW,B0,1F,3F,,176,31,63,,,,,
,,,,,PUSH DOWN,90,1F,7F,,144,31,127,,,,,
,,,,,PUSH UP,90,1F,0,,144,31,0,,,,,
CUE MIX,,,,,INT,B0,1D,0,,176,29,0,,,,,
,,,,,MID IN,90,1D,7F,,144,29,127,,,,,
,,,,,MID OUT,90,1D,0,,144,29,0,,,,,
PLATTERS,,,,,,,,,,,,,,,,,
